timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665586480,1-1,3960.0,7602.0,-303.0,10439.0,-61.0,-71.0,-47.0,-64.0,1142.0,1580.0,1491.0,1182.0
665585401,1-1,3999.0,9067.0,-264.0,10479.0,-61.0,-71.0,-47.0,-64.0,1179.0,1283.0,1461.0,1049.0
665588430,1-1,,,-499.0,10557.0,,,-47.0,-64.0,,,1518.0,1077.0
665585506,1-1,4077.0,6870.0,-342.0,10752.0,-61.0,-71.0,-48.0,-64.0,1137.0,2314.0,1456.0,954.0
665585769,1-1,4077.0,7661.0,-303.0,10596.0,-61.0,-71.0,-48.0,-64.0,1138.0,2049.0,1480.0,1017.0
665587072,1-1,3921.0,6723.0,-303.0,10635.0,-61.0,-71.0,-47.0,-64.0,1161.0,2216.0,1480.0,1040.0
665584522,1-1,4077.0,7016.0,-381.0,10479.0,-60.0,-71.0,-47.0,-64.0,1027.0,2080.0,1471.0,1153.0
665588728,1-1,4155.0,8100.0,-342.0,10713.0,-61.0,-71.0,-46.0,-63.0,1013.0,1824.0,1485.0,981.0
665585884,1-1,,,-303.0,,,,-47.0,,,,1437.0,
665584396,1-1,4077.0,7104.0,-303.0,10674.0,-60.0,-71.0,-46.0,-64.0,1184.0,2215.0,1492.0,1111.0
665586808,1-1,4116.0,6928.0,-421.0,10479.0,-61.0,-71.0,-47.0,-65.0,1049.0,1731.0,1570.0,1131.0
665588533,1-1,4038.0,8335.0,-342.0,10518.0,-60.0,-71.0,-45.0,-64.0,1073.0,1862.0,1472.0,984.0
665586146,1-1,4116.0,9067.0,-413.0,10518.0,-61.0,-71.0,-43.0,-63.0,1119.0,1241.0,1516.0,1169.0
665585044,1-1,4116.0,9126.0,-342.0,10557.0,-60.0,-71.0,-48.0,-64.0,1122.0,1240.0,1543.0,1181.0
665586870,1-1,4038.0,6841.0,-381.0,10440.0,-61.0,-71.0,-47.0,-64.0,1120.0,2152.0,1551.0,1124.0
665587116,1-1,4077.0,6753.0,-303.0,10400.0,-61.0,-71.0,-47.0,-64.0,1083.0,2249.0,1525.0,1132.0
665586204,1-1,4116.0,8647.0,-371.0,10635.0,-61.0,-71.0,-43.0,-62.0,1107.0,1486.0,1543.0,1342.0
665588900,1-1,4077.0,7690.0,-342.0,10440.0,-61.0,-71.0,-47.0,-64.0,1043.0,1929.0,1470.0,1051.0
665588593,1-1,3960.0,8423.0,-381.0,12360.0,-61.0,-71.0,-47.0,-59.0,1156.0,1781.0,1418.0,1682.0
665586217,1-1,4038.0,8921.0,-264.0,10557.0,-61.0,-71.0,-48.0,-64.0,1174.0,1378.0,1460.0,1152.0
665586288,1-1,4116.0,7221.0,-342.0,10596.0,-61.0,-71.0,-48.0,-64.0,1120.0,2118.0,1477.0,1121.0
665588215,1-1,4116.0,8774.0,-137.0,10557.0,-60.0,-71.0,-43.0,-64.0,1112.0,1496.0,1358.0,1056.0
665586663,1-1,4038.0,7163.0,-261.0,10557.0,-61.0,-71.0,-45.0,-64.0,1147.0,1606.0,1488.0,1213.0
665583859,1-1,4077.0,6665.0,-342.0,10557.0,-61.0,-71.0,-47.0,-64.0,1083.0,2288.0,1455.0,990.0
665585327,1-1,4155.0,8774.0,-381.0,10400.0,-61.0,-71.0,-47.0,-64.0,1071.0,1183.0,1548.0,1170.0
