Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
154    | 4.9387     | 0.3626     | 4.0925     | 0.3220     | 0.1617     | 0.0817       | 0.1400       |             | 0.7934   | 0.222  
155    | 4.9558     | 0.3889     | 4.0894     | 0.3214     | 0.1562     | 0.0704       | 0.1420       |             | 0.7553   | 0.212  
156    | 4.8887     | 0.3595     | 4.0339     | 0.3317     | 0.1636     | 0.0666       | 0.1432       |             | 0.8381   | 0.210  
157    | 4.9945     | 0.3594     | 4.1368     | 0.3372     | 0.1611     | 0.0789       | 0.1177       |             | 0.7498   | 0.197  
158    | 5.2152     | 0.4162     | 4.2959     | 0.3267     | 0.1764     | 0.0861       | 0.1554       |             | 0.7959   | 0.242  
159    | 5.1814     | 0.3613     | 4.3129     | 0.3314     | 0.1758     | 0.0765       | 0.1325       |             | 0.7518   | 0.209  
160    | 5.2757     | 0.3927     | 4.3849     | 0.3313     | 0.1668     | 0.0757       | 0.1407       |             | 0.7442   | 0.216  
161    | 5.2280     | 0.3443     | 4.3956     | 0.3249     | 0.1632     | 0.0728       | 0.1708       |             | 0.8146   | 0.244  
162    | 5.2131     | 0.3756     | 4.3236     | 0.3427     | 0.1712     | 0.0739       | 0.1736       |             | 0.7768   | 0.248  
163    | 4.9404     | 0.3268     | 4.1435     | 0.3112     | 0.1590     | 0.0615       | 0.1476       |             | 0.7337   | 0.209  
164    | 5.0021     | 0.3390     | 4.1739     | 0.3286     | 0.1606     | 0.0830       | 0.1505       |             | 0.7766   | 0.233  
165    | 4.9637     | 0.3624     | 4.1293     | 0.3100     | 0.1619     | 0.0750       | 0.1435       |             | 0.7255   | 0.219  
166    | 4.9925     | 0.3306     | 4.1830     | 0.3195     | 0.1595     | 0.0784       | 0.1363       |             | 0.7469   | 0.215  
167    | 4.9447     | 0.3437     | 4.1439     | 0.3047     | 0.1524     | 0.0938       | 0.1464       |             | 0.7941   | 0.240  
168    | 5.2184     | 0.3825     | 4.3402     | 0.3329     | 0.1628     | 0.0945       | 0.1559       |             | 0.8727   | 0.250  
