==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
154    | 2.6588     | 0.2457     | 1.2326       | 1.1805      | 0.9906     | 0.6290     |             | 0.9282   | 0.676  
155    | 2.6536     | 0.2292     | 1.2471       | 1.1773      | 0.9948     | 0.5890     | (ADV 0.70)  | 0.8912   | 0.700  
156    | 2.6972     | 0.2444     | 1.2653       | 1.1875      | 0.9927     | 0.6435     |             | 0.8948   | 0.671  
157    | 2.6659     | 0.2057     | 1.2571       | 1.2030      | 0.9927     | 0.6063     |             | 0.8609   | 0.690  
158    | 2.6467     | 0.2228     | 1.2192       | 1.2047      | 0.9927     | 0.5718     | (ADV 0.71)  | 0.8764   | 0.707  
159    | 2.6246     | 0.2116     | 1.2166       | 1.1965      | 0.9927     | 0.6276     |             | 0.8867   | 0.679  
160    | 2.6493     | 0.2307     | 1.2193       | 1.1994      | 0.9917     | 0.6202     |             | 0.9230   | 0.682  
161    | 2.6235     | 0.2322     | 1.2131       | 1.1781      | 0.9948     | 0.5861     |             | 0.9329   | 0.702  
162    | 2.6019     | 0.2186     | 1.2002       | 1.1831      | 0.9938     | 0.5622     | (ADV 0.71)  | 0.9161   | 0.713  
163    | 2.6105     | 0.2193     | 1.2039       | 1.1873      | 0.9906     | 0.6226     |             | 0.9138   | 0.679  
164    | 2.6270     | 0.2522     | 1.1949       | 1.1799      | 0.9896     | 0.6239     |             | 0.9371   | 0.678  
165    | 2.6427     | 0.2336     | 1.1966       | 1.2124      | 0.9938     | 0.6345     |             | 0.9313   | 0.676  
166    | 2.6962     | 0.2221     | 1.2063       | 1.2678      | 0.9938     | 0.6469     |             | 0.9217   | 0.670  
167    | 2.6927     | 0.2321     | 1.2055       | 1.2550      | 0.9927     | 0.6178     |             | 0.9170   | 0.684  
168    | 2.6905     | 0.2247     | 1.1972       | 1.2686      | 0.9938     | 0.6328     |             | 0.9280   | 0.677  
169    | 2.6753     | 0.2321     | 1.1973       | 1.2459      | 0.9927     | 0.6284     |             | 0.8421   | 0.678  
170    | 2.6177     | 0.2088     | 1.1893       | 1.2196      | 0.9927     | 0.6184     |             | 0.8469   | 0.683  
171    | 2.6079     | 0.2242     | 1.1925       | 1.1912      | 0.9927     | 0.6381     |             | 0.9312   | 0.674  
172    | 2.6083     | 0.2012     | 1.2182       | 1.1889      | 0.9917     | 0.6258     |             | 0.9347   | 0.679  
173    | 2.6699     | 0.2416     | 1.2348       | 1.1935      | 0.9896     | 0.6217     |             | 0.9568   | 0.679  
174    | 2.6138     | 0.2291     | 1.2071       | 1.1775      | 0.9917     | 0.5938     |             | 0.9099   | 0.695  
175    | 2.6578     | 0.2399     | 1.2089       | 1.2089      | 0.9927     | 0.6152     |             | 0.9217   | 0.685  
176    | 2.6620     | 0.2492     | 1.1906       | 1.2223      | 0.9938     | 0.6320     |             | 0.8950   | 0.678  
177    | 2.6007     | 0.2139     | 1.1922       | 1.1946      | 0.9927     | 0.5947     |             | 0.9365   | 0.695  
178    | 2.6189     | 0.2388     | 1.1865       | 1.1936      | 0.9927     | 0.5917     |             | 0.8759   | 0.697  
179    | 2.5707     | 0.1905     | 1.1891       | 1.1911      | 0.9948     | 0.5999     |             | 0.8740   | 0.695  
180    | 2.6562     | 0.2312     | 1.2062       | 1.2187      | 0.9917     | 0.6062     |             | 0.8778   | 0.689  
181    | 2.6501     | 0.2254     | 1.2022       | 1.2225      | 0.9927     | 0.6173     |             | 0.8679   | 0.684  
182    | 2.6410     | 0.2133     | 1.2057       | 1.2220      | 0.9938     | 0.6338     |             | 0.8702   | 0.677  
