Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
183    | 5.9769     | 0.7307     | 4.6764     | 0.4625     | 0.1073     | 0.2095       | 0.3082       |             | 1.4289   | 0.518  
184    | 6.0713     | 0.7293     | 4.7903     | 0.4518     | 0.0998     | 0.2513       | 0.3155       |             | 1.5681   | 0.567  
185    | 5.9960     | 0.7364     | 4.7253     | 0.4374     | 0.0969     | 0.1663       | 0.2766       |             | 1.3873   | 0.443  
186    | 5.6142     | 0.6342     | 4.4671     | 0.4232     | 0.0897     | 0.1976       | 0.2662       |             | 1.3106   | 0.464  
187    | 5.6539     | 0.6776     | 4.4713     | 0.4132     | 0.0917     | 0.1635       | 0.2670       |             | 1.3968   | 0.431  
188    | 5.7784     | 0.6465     | 4.6306     | 0.4107     | 0.0906     | 0.1590       | 0.2778       |             | 1.4155   | 0.437  
189    | 5.5262     | 0.6280     | 4.4043     | 0.4047     | 0.0892     | 0.1673       | 0.2885       |             | 1.3513   | 0.456  
190    | 5.6869     | 0.6652     | 4.5045     | 0.4267     | 0.0905     | 0.2252       | 0.2508       |             | 1.4312   | 0.476  
191    | 5.6494     | 0.6106     | 4.5313     | 0.4138     | 0.0936     | 0.1574       | 0.2824       |             | 1.3696   | 0.440  
192    | 5.7955     | 0.6551     | 4.6112     | 0.4339     | 0.0953     | 0.1984       | 0.2397       |             | 1.2466   | 0.438  
193    | 5.5787     | 0.6316     | 4.4342     | 0.4188     | 0.0941     | 0.1556       | 0.2629       |             | 1.3386   | 0.418  
194    | 5.9130     | 0.6866     | 4.6975     | 0.4316     | 0.0973     | 0.1648       | 0.2691       |             | 1.3076   | 0.434  
195    | 5.6793     | 0.6462     | 4.4954     | 0.4362     | 0.1015     | 0.1780       | 0.2391       |             | 1.3165   | 0.417  
196    | 5.4812     | 0.6183     | 4.3503     | 0.4153     | 0.0973     | 0.1869       | 0.2503       |             | 1.2876   | 0.437  
197    | 5.4990     | 0.5833     | 4.4327     | 0.3930     | 0.0901     | 0.2047       | 0.2486       |             | 1.2859   | 0.453  
