Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
185    | 5.0945     | 0.3560     | 4.3775     | 0.2611     | 0.0998     | 0.0926       | 0.0620       | (saved)     | 0.8660   | 0.155  
186    | 4.9507     | 0.3421     | 4.2385     | 0.2701     | 0.1000     | 0.0829       | 0.0803       |             | 0.8612   | 0.163  
187    | 5.2078     | 0.3739     | 4.4503     | 0.2775     | 0.1060     | 0.0768       | 0.1027       |             | 0.8663   | 0.179  
188    | 5.1572     | 0.3339     | 4.4655     | 0.2593     | 0.0985     | 0.0779       | 0.1052       |             | 0.8752   | 0.183  
189    | 5.1761     | 0.3759     | 4.4330     | 0.2664     | 0.1008     | 0.1118       | 0.0771       |             | 0.8615   | 0.189  
190    | 5.0607     | 0.3552     | 4.3566     | 0.2487     | 0.1003     | 0.0916       | 0.0868       |             | 0.8402   | 0.178  
191    | 5.0985     | 0.3596     | 4.3740     | 0.2585     | 0.1065     | 0.0973       | 0.0742       |             | 0.8607   | 0.172  
192    | 5.0339     | 0.3301     | 4.3582     | 0.2474     | 0.0982     | 0.0892       | 0.0650       | (saved)     | 0.8293   | 0.154  
193    | 5.2051     | 0.3204     | 4.5349     | 0.2459     | 0.1039     | 0.0822       | 0.0739       |             | 0.8373   | 0.156  
194    | 5.0059     | 0.3256     | 4.3336     | 0.2407     | 0.1060     | 0.1100       | 0.0637       |             | 0.8332   | 0.174  
195    | 5.1729     | 0.3517     | 4.4642     | 0.2508     | 0.1062     | 0.0869       | 0.0860       |             | 0.8187   | 0.173  
196    | 5.2583     | 0.3699     | 4.4969     | 0.2746     | 0.1169     | 0.0860       | 0.0850       |             | 0.8407   | 0.171  
197    | 5.3755     | 0.3729     | 4.6199     | 0.2694     | 0.1133     | 0.1023       | 0.0796       |             | 0.8278   | 0.182  
198    | 5.2894     | 0.3824     | 4.5426     | 0.2535     | 0.1109     | 0.1014       | 0.0719       |             | 0.8486   | 0.173  
