Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
189    | 5.8566     | 0.6032     | 4.8058     | 0.4009     | 0.0467     | 0.1827       | 0.2324       |             | 1.4171   | 0.415  
190    | 5.8863     | 0.6029     | 4.8437     | 0.3918     | 0.0479     | 0.1640       | 0.2394       |             | 1.4387   | 0.403  
191    | 5.7958     | 0.5324     | 4.8189     | 0.3965     | 0.0479     | 0.1272       | 0.2281       | (saved)     | 1.5292   | 0.355  
192    | 5.9429     | 0.5848     | 4.9132     | 0.3929     | 0.0520     | 0.1897       | 0.2296       |             | 1.5336   | 0.419  
193    | 6.2733     | 0.6363     | 5.1756     | 0.4087     | 0.0527     | 0.2067       | 0.2697       |             | 1.5746   | 0.476  
194    | 6.1497     | 0.6436     | 5.0421     | 0.4109     | 0.0532     | 0.1744       | 0.2403       |             | 1.5636   | 0.415  
195    | 6.0095     | 0.6105     | 4.9368     | 0.4121     | 0.0501     | 0.1435       | 0.2524       |             | 1.5747   | 0.396  
196    | 5.8993     | 0.5365     | 4.9070     | 0.4051     | 0.0506     | 0.1456       | 0.2656       |             | 1.4737   | 0.411  
197    | 5.8801     | 0.5815     | 4.8546     | 0.3923     | 0.0517     | 0.1768       | 0.2581       |             | 1.5921   | 0.435  
198    | 5.8808     | 0.5899     | 4.8296     | 0.4078     | 0.0535     | 0.1753       | 0.2615       |             | 1.5153   | 0.437  
