Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
174    | 5.3124     | 0.4929     | 4.3646     | 0.3574     | 0.0976     | 0.2054       | 0.1936       |             | 1.2403   | 0.399  
175    | 5.4039     | 0.5252     | 4.4080     | 0.3664     | 0.1043     | 0.1842       | 0.2375       |             | 1.2238   | 0.422  
176    | 5.5082     | 0.5380     | 4.5102     | 0.3607     | 0.0994     | 0.1813       | 0.2466       |             | 1.2570   | 0.428  
177    | 5.5165     | 0.5418     | 4.4974     | 0.3714     | 0.1058     | 0.1895       | 0.1892       |             | 1.2186   | 0.379  
178    | 5.3426     | 0.5237     | 4.3579     | 0.3580     | 0.1031     | 0.1804       | 0.1983       |             | 1.2993   | 0.379  
179    | 5.4508     | 0.5196     | 4.4724     | 0.3529     | 0.1060     | 0.1657       | 0.2206       |             | 1.3395   | 0.386  
180    | 5.4429     | 0.4953     | 4.4809     | 0.3635     | 0.1032     | 0.2193       | 0.2125       |             | 1.2582   | 0.432  
181    | 5.6732     | 0.5356     | 4.6589     | 0.3722     | 0.1064     | 0.2083       | 0.2327       |             | 1.3221   | 0.441  
182    | 5.8821     | 0.5575     | 4.8098     | 0.3984     | 0.1164     | 0.2056       | 0.2044       |             | 1.2753   | 0.410  
183    | 5.5411     | 0.5738     | 4.4970     | 0.3646     | 0.1057     | 0.1742       | 0.2302       |             | 1.2505   | 0.404  
184    | 5.4420     | 0.5435     | 4.4194     | 0.3738     | 0.1053     | 0.2296       | 0.2061       |             | 1.2416   | 0.436  
185    | 5.3877     | 0.5714     | 4.3581     | 0.3538     | 0.1044     | 0.1985       | 0.1997       |             | 1.2028   | 0.398  
186    | 5.4900     | 0.5637     | 4.4629     | 0.3565     | 0.1070     | 0.1980       | 0.1844       |             | 1.1939   | 0.382  
187    | 5.2251     | 0.5156     | 4.2561     | 0.3487     | 0.1047     | 0.1746       | 0.1965       |             | 1.1810   | 0.371  
188    | 5.3329     | 0.5095     | 4.3657     | 0.3537     | 0.1040     | 0.1802       | 0.2217       |             | 1.2062   | 0.402  
189    | 5.3246     | 0.4900     | 4.3773     | 0.3542     | 0.1031     | 0.1870       | 0.1992       |             | 1.1940   | 0.386  
190    | 5.4872     | 0.5505     | 4.4782     | 0.3569     | 0.1017     | 0.1900       | 0.2057       |             | 1.1459   | 0.396  
191    | 5.3942     | 0.5123     | 4.4455     | 0.3331     | 0.1033     | 0.1797       | 0.2143       |             | 1.1676   | 0.394  
192    | 5.1602     | 0.4873     | 4.2176     | 0.3471     | 0.1082     | 0.1907       | 0.2120       |             | 1.2517   | 0.403  
193    | 5.1638     | 0.5019     | 4.2092     | 0.3455     | 0.1072     | 0.2206       | 0.2224       |             | 1.2779   | 0.443  
194    | 5.2480     | 0.4872     | 4.3043     | 0.3484     | 0.1081     | 0.1652       | 0.2053       |             | 1.2556   | 0.371  
195    | 5.2698     | 0.5187     | 4.2958     | 0.3440     | 0.1114     | 0.1799       | 0.2131       |             | 1.2179   | 0.393  
196    | 5.2723     | 0.4673     | 4.3644     | 0.3344     | 0.1061     | 0.1733       | 0.1980       |             | 1.2812   | 0.371  
197    | 5.3817     | 0.5144     | 4.4280     | 0.3319     | 0.1074     | 0.1975       | 0.1957       |             | 1.2623   | 0.393  
