Position_ID,Label,Pos_X,Pos_Y,RSSI_Single,RSSI_Full,Diff_RSSI,Dist_mm_Single,Dist_mm_Full,Diff_RTT
Pos3,6-5,-2.40,3.00,-57.57,-54.33,3.24,1474.33,869.11,-605.22
Pos3,6-6,-3.00,3.00,-64.78,-58.62,6.17,4124.34,2709.39,-1414.96
Pos3,6-7,-3.60,3.00,-58.74,-56.68,2.06,2780.01,2818.89,38.88
Pos3,6-8,-4.20,3.00,-62.48,-59.65,2.83,2600.62,3755.97,1155.35
Pos3,6-9,-4.80,3.00,-61.54,-62.57,-1.03,6318.06,3529.83,-2788.23
Pos3,7-1,0.00,3.60,-58.03,-56.33,1.71,297.72,277.13,-20.58
Pos3,7-11,-6.00,3.60,-67.54,-63.65,3.89,5706.76,5552.96,-153.80
Pos3,8-1,0.00,4.20,-59.23,-53.13,6.11,910.57,1633.50,722.93
Pos3,8-11,-6.00,4.20,-65.67,-62.37,3.30,4457.42,6569.03,2111.62
Pos3,9-1,0.00,4.80,-56.04,-58.11,-2.07,1910.40,1693.48,-216.92
Pos3,9-11,-6.00,4.80,-63.48,-65.47,-2.00,6162.97,4837.54,-1325.43
Pos4,1-1,0.00,0.00,-70.92,-69.22,1.70,12168.17,9284.30,-2883.86
Pos4,1-10,-5.40,0.00,-67.03,-67.97,-0.93,8320.09,6162.82,-2157.27
Pos4,1-11,-6.00,0.00,-57.03,-59.85,-2.81,7396.43,6828.70,-567.74
Pos4,1-2,-0.60,0.00,-69.50,-66.54,2.96,9734.01,10009.60,275.59
Pos4,1-3,-1.20,0.00,-68.22,-74.90,-6.69,11807.01,10563.90,-1243.10
Pos4,1-4,-1.80,0.00,-69.75,-71.06,-1.31,8847.35,9845.91,998.56
Pos4,1-5,-2.40,0.00,-68.46,-63.29,5.17,8650.81,10099.05,1448.24
Pos4,1-6,-3.00,0.00,-67.27,-69.37,-2.10,7796.48,8888.53,1092.06
Pos4,1-7,-3.60,0.00,-70.33,-65.18,5.15,8204.95,8255.89,50.94
Pos4,1-8,-4.20,0.00,-72.15,-67.90,4.25,8093.56,10287.61,2194.05
Pos4,1-9,-4.80,0.00,-70.90,-66.43,4.46,12354.03,8851.54,-3502.50
Pos4,10-1,0.00,5.40,-72.79,-56.04,16.75,7499.91,6647.28,-852.62
Pos4,10-11,-6.00,5.40,-55.13,-56.94,-1.81,1630.04,1447.15,-182.89
Pos4,11-1,0.00,6.00,-65.34,-62.28,3.06,9455.12,7177.16,-2277.96
Pos4,11-10,-5.40,6.00,-55.08,-52.30,2.77,2063.73,1897.86,-165.87
Pos4,11-11,-6.00,6.00,-51.52,-61.86,-10.33,1168.25,2687.23,1518.98
Pos4,11-2,-0.60,6.00,-58.89,-58.00,0.89,6405.79,6184.21,-221.58
Pos4,11-3,-1.20,6.00,-64.87,-61.53,3.34,5652.76,5901.85,249.09
Pos4,11-4,-1.80,6.00,-63.83,-63.11,0.72,6926.99,5182.21,-1744.78
Pos4,11-5,-2.40,6.00,-55.84,-54.45,1.39,3848.51,6895.79,3047.29
Pos4,11-6,-3.00,6.00,-60.16,-58.96,1.20,4254.95,4154.78,-100.17
Pos4,11-7,-3.60,6.00,-63.03,-57.88,5.16,4016.95,4309.43,292.48
Pos4,11-8,-4.20,6.00,-54.98,-54.41,0.58,2565.08,4298.98,1733.90
Pos4,11-9,-4.80,6.00,-51.83,-56.14,-4.32,2340.98,2926.18,585.20
Pos4,2-1,0.00,0.60,-72.78,-72.12,0.65,12689.33,10071.63,-2617.70
Pos4,2-11,-6.00,0.60,-60.01,-58.52,1.49,6185.55,6046.13,-139.42
Pos4,3-1,0.00,1.20,-70.24,-68.74,1.50,8939.67,9417.25,477.58
Pos4,3-11,-6.00,1.20,-60.35,-60.25,0.10,5574.68,5358.67,-216.00
Pos4,4-1,0.00,1.80,-70.06,-69.41,0.65,9375.12,9671.99,296.86
Pos4,4-11,-6.00,1.80,-54.96,-59.39,-4.43,4999.88,5198.71,198.83
Pos4,5-1,0.00,2.40,-65.82,-69.36,-3.54,8953.38,8978.48,25.10
Pos4,5-11,-6.00,2.40,-50.88,-59.24,-8.36,4529.10,4440.68,-88.42
Pos4,6-1,0.00,3.00,-69.29,-63.94,5.35,8447.57,8441.07,-6.50
Pos4,6-10,-5.40,3.00,-59.80,-59.32,0.48,4131.41,5478.59,1347.18
Pos4,6-11,-6.00,3.00,-56.96,-52.42,4.54,3597.99,3658.42,60.43
Pos4,6-2,-0.60,3.00,-65.23,-62.90,2.33,9803.62,10663.89,860.27
Pos4,6-3,-1.20,3.00,-69.03,-63.47,5.56,8829.38,9853.00,1023.62
Pos4,6-4,-1.80,3.00,-65.98,-64.06,1.92,7170.48,7479.10,308.62
Pos4,6-5,-2.40,3.00,-61.58,-67.98,-6.41,7860.20,6976.84,-883.37
Pos4,6-6,-3.00,3.00,-69.19,-62.90,6.29,10820.10,5831.40,-4988.70
Pos4,6-7,-3.60,3.00,-70.26,-67.09,3.17,5706.63,9452.22,3745.59
Pos4,6-8,-4.20,3.00,-54.98,-63.63,-8.66,5852.86,7645.84,1792.98
Pos4,6-9,-4.80,3.00,-60.28,-63.00,-2.72,6001.29,5605.31,-395.98
Pos4,7-1,0.00,3.60,-63.06,-64.78,-1.72,9545.95,9150.33,-395.62
Pos4,7-11,-6.00,3.60,-49.63,-54.99,-5.36,3535.65,3954.31,418.66
Pos4,8-1,0.00,4.20,-66.67,-68.31,-1.64,10380.18,8371.99,-2008.20
Pos4,8-11,-6.00,4.20,-59.86,-56.54,3.31,3356.79,2629.89,-726.90
Pos4,9-1,0.00,4.80,-69.18,-62.94,6.24,6206.29,5728.16,-478.13
Pos4,9-11,-6.00,4.80,-58.30,-57.80,0.50,2446.72,2853.05,406.32
