AP_ID,Label,Pos_X,Pos_Y,RSSI_Base,RSSI_Comp,Shift_RSSI,Dist_mm_Base,Dist_mm_Comp,Shift_RTT
AP4,11-8,-4.20,6.00,-54.42,-52.69,1.73,4299.34,2022.65,-2276.69
AP4,11-9,-4.80,6.00,-56.14,-56.16,-0.01,2926.40,2751.93,-174.47
AP4,2-1,0.00,0.60,-72.12,-70.47,1.65,10071.43,10353.71,282.29
AP4,2-11,-6.00,0.60,-58.52,-59.10,-0.58,6045.95,6646.85,600.90
AP4,3-1,0.00,1.20,-68.74,-68.58,0.16,9417.25,9175.13,-242.12
AP4,3-11,-6.00,1.20,-60.26,-58.19,2.07,5359.56,5740.01,380.45
AP4,4-1,0.00,1.80,-69.41,-63.44,5.97,9671.99,11662.25,1990.26
AP4,4-11,-6.00,1.80,-59.39,-56.72,2.67,5198.21,5406.26,208.05
AP4,5-1,0.00,2.40,-69.37,-65.57,3.80,8979.04,8525.77,-453.27
AP4,5-11,-6.00,2.40,-59.24,-56.52,2.72,4440.65,4935.69,495.05
AP4,6-1,0.00,3.00,-63.94,-61.73,2.21,8441.07,7770.01,-671.06
AP4,6-10,-5.40,3.00,-59.40,-63.94,-4.54,5441.22,3130.44,-2310.79
AP4,6-11,-6.00,3.00,-52.42,-60.65,-8.23,3658.42,3911.77,253.34
AP4,6-2,-0.60,3.00,-62.90,-65.01,-2.11,10664.38,12579.81,1915.44
AP4,6-3,-1.20,3.00,-63.47,-69.51,-6.04,9853.12,9346.11,-507.01
AP4,6-4,-1.80,3.00,-64.06,-73.26,-9.20,7479.18,8131.99,652.82
AP4,6-5,-2.40,3.00,-67.99,-65.52,2.47,6978.53,7652.94,674.41
AP4,6-6,-3.00,3.00,-62.90,-63.63,-0.73,5831.28,7895.90,2064.62
AP4,6-7,-3.60,3.00,-67.09,-63.09,4.00,9452.22,9049.14,-403.08
AP4,6-8,-4.20,3.00,-63.63,-63.15,0.48,7645.84,6355.95,-1289.89
AP4,6-9,-4.80,3.00,-63.01,-60.35,2.66,5604.90,6609.73,1004.82
AP4,7-1,0.00,3.60,-64.78,-68.56,-3.79,9150.33,8955.77,-194.55
AP4,7-11,-6.00,3.60,-54.99,-56.55,-1.56,3954.31,3721.05,-233.27
AP4,8-1,0.00,4.20,-68.31,-71.61,-3.30,8372.16,9141.09,768.93
AP4,8-11,-6.00,4.20,-56.55,-61.12,-4.57,2630.31,2764.38,134.07
AP4,9-1,0.00,4.80,-62.94,-68.47,-5.54,5728.76,7165.10,1436.34
AP4,9-11,-6.00,4.80,-57.80,-52.34,5.46,2853.05,2510.17,-342.88
